"timestamp" "bugsigdb_signatures_genus_metaphlan_exact.gmt" "bugsigdb_signatures_genus_metaphlan.gmt" "bugsigdb_signatures_genus_ncbi_exact.gmt" "bugsigdb_signatures_genus_ncbi.gmt" "bugsigdb_signatures_genus_taxname_exact.gmt" "bugsigdb_signatures_genus_taxname.gmt" "bugsigdb_signatures_mixed_metaphlan.gmt" "bugsigdb_signatures_mixed_ncbi.gmt" "bugsigdb_signatures_mixed_taxname.gmt" "bugsigdb_signatures_species_metaphlan_exact.gmt" "bugsigdb_signatures_species_metaphlan.gmt" "bugsigdb_signatures_species_ncbi_exact.gmt" "bugsigdb_signatures_species_ncbi.gmt" "bugsigdb_signatures_species_taxname_exact.gmt" "bugsigdb_signatures_species_taxname.gmt" "exp.csv" "full_dump.csv" "sig.csv" "stud.csv"
"2026-06-30_12:32_UTC" 9307 9314 9307 9314 9307 9314 13418 13418 13418 6078 6078 6078 6078 6078 6078 8892 15007 14188 2248
"2026-06-30_13:30_UTC" 9307 9314 9307 9314 9307 9314 13418 13418 13418 6078 6078 6078 6078 6078 6078 8892 15007 14190 2248
"2026-06-30_14:45_UTC" 9307 9314 9307 9314 9307 9314 13418 13418 13418 6078 6078 6078 6078 6078 6078 8892 15007 14192 2248
"2026-06-30_15:44_UTC" 9307 9314 9307 9314 9307 9314 13420 13420 13420 6078 6078 6078 6078 6078 6078 8892 15007 14195 2248
"2026-06-30_16:38_UTC" 9307 9314 9307 9314 9307 9314 13420 13420 13420 6078 6078 6078 6078 6078 6078 8892 15007 14198 2248
"2026-06-30_17:31_UTC" 9307 9314 9307 9314 9307 9314 13421 13421 13421 6080 6080 6080 6080 6080 6080 8892 15007 14199 2248
"2026-06-30_18:27_UTC" 9306 9313 9306 9313 9306 9313 13420 13420 13420 6080 6080 6080 6080 6080 6080 8892 15007 14200 2248
"2026-06-30_19:27_UTC" 9303 9310 9303 9310 9303 9310 13418 13418 13418 6079 6079 6079 6079 6079 6079 8892 15007 14200 2248
"2026-06-30_20:33_UTC" 9303 9310 9303 9310 9303 9310 13418 13418 13418 6079 6079 6079 6079 6079 6079 8892 15007 14200 2248
"2026-06-30_21:25_UTC" 9303 9310 9303 9310 9303 9310 13418 13418 13418 6079 6079 6079 6079 6079 6079 8892 15007 14200 2248
"2026-06-30_22:21_UTC" 9303 9310 9303 9310 9303 9310 13418 13418 13418 6079 6079 6079 6079 6079 6079 8892 15007 14200 2248
"2026-06-30_23:22_UTC" 9304 9311 9304 9311 9304 9311 13419 13419 13419 6080 6080 6080 6080 6080 6080 8892 15008 14201 2248
"2026-07-01_00:19_UTC" 9304 9311 9304 9311 9304 9311 13419 13419 13419 6080 6080 6080 6080 6080 6080 8892 15008 14201 2248
